text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"2?¯ LUGAR A NIVEL NACIONAL ???????˙ Incrementa a 64 cifra de muertos por #influenza en Hidalgo.

#ENT??RATE É??ã?èÉ??ã?èÉ?? https://t.co/w7GY6JFLAo",FALSE,0,NA,08-03-19 18:19,TRUE,NA,1.10408E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",amdigitalhgo,0,FALSE,FALSE,NA,NA
"RT @EBmedicine: #Tamiflu (oseltamivir) is the most common ""treatment"" for #influenza, and a 2015 meta-analysis  found a 21% shorter time toÉ??",FALSE,0,NA,08-03-19 18:16,FALSE,NA,1.10408E+18,NA,"<a href=""https://meta-evidence.co.uk"" rel=""nofollow"">Systematic Review Bot</a>",EvidenceRobot,1,TRUE,FALSE,NA,NA
"#Tamiflu (oseltamivir) is the most common ""treatment"" for #influenza, and a 2015 meta-analysis  found a 21% shorterÉ?? https://t.co/I53QBRnyDt",FALSE,0,NA,08-03-19 18:15,TRUE,NA,1.10408E+18,NA,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>",EBmedicine,1,FALSE,FALSE,NA,NA
"RT @ISSSTE_HGO: Es importante aplicar la vacuna contra influenza en los grupos de riesgo se?Òalados previamente, en estas personas la infeccÉ??",FALSE,0,NA,08-03-19 18:02,FALSE,NA,1.10408E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GapAldo,1,TRUE,FALSE,NA,NA
"RT @ISSSTE_HGO: É?? Personas de cualquier edad que padezcan enfermedades cr??nicas como enfermedades vasculares (hipertensi??n), enfermedades cÉ??",FALSE,0,NA,08-03-19 18:02,FALSE,NA,1.10408E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GapAldo,1,TRUE,FALSE,NA,NA
"RT @ISSSTE_HGO: Se recomienda la aplicaci??n de la vacuna contra #Influenza para los siguientes grupos de riesgo, Ni?Òos de 6 a 59 meses de eÉ??",FALSE,0,NA,08-03-19 18:02,FALSE,NA,1.10408E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GapAldo,1,TRUE,FALSE,NA,NA
"RT @ISSSTE_HGO: Si presentas los s??ntomas de la #Influenza, acudir a tiempo a la Unidad de Salud m?≠s cercana, puede salvar tu vida https://É??",FALSE,0,NA,08-03-19 18:02,FALSE,NA,1.10408E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GapAldo,1,TRUE,FALSE,NA,NA
"RT @ISSSTE_HGO: S??ntomas de la #Influenza : Fiebre alta (Mayor a 38?ß), Dolores musculares, Dolor de cabeza, Severo malestar general, Tos, DÉ??",FALSE,0,NA,08-03-19 18:02,FALSE,NA,1.10408E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GapAldo,2,TRUE,FALSE,NA,NA
"RT @ISSSTE_HGO: La vacuna contra #Influenza protege contra los virus estacionales A(H1N1), A(H3N2) y tipo B. #MedidasPreventivas https://t.É??",FALSE,0,NA,08-03-19 18:02,FALSE,NA,1.10408E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GapAldo,1,TRUE,FALSE,NA,NA
The #CDC flu map for Week 9 - ending March 2 - shows just a couple of states (Vermont and Hawaii) without widespreaÉ?? https://t.co/pvgO31TdEt,FALSE,0,NA,08-03-19 17:52,TRUE,NA,1.10408E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",MMCAP_Online,0,FALSE,FALSE,NA,NA
